"","game_date_x","game_pk","velocity","spin_rate","release_extension","api_break_z_with_gravity","pitcher_run_exp","woba","xwoba","launch_speed","hardhit_percent","barrels_per_pa_percent","home_team","away_team","home_runs","away_runs","park_factor"
"38","2024-03-29",745682,86.4,1995,6.63,2.40216,0.667,0.32,0.291,85.1,24.1379310344828,5.55555555555556,"Oakland Athletics","Cleveland Guardians",4,6,100
"39","2024-03-29",745435,87.9,2452,6.35,2.70167,-3.697,0.413,0.456,94.8,54.8387096774194,9.52380952380952,"San Diego Padres","San Francisco Giants",3,8,99
"40","2024-03-29",745435,88.3,2214,6.6,2.62317,-1.358,0.38,0.351,91.8,42.8571428571428,11.7647058823529,"San Diego Padres","San Francisco Giants",3,8,99
"41","2024-03-29",745117,87.1,2298,6.53,2.695,-1.758,0.346,0.324,87.5,40.7407407407407,5.26315789473684,"Tampa Bay Rays","Toronto Blue Jays",8,2,100
"42","2024-03-29",745117,87.1,2467,5.97,2.37566,0.978,0.221,0.237,87.7,34.6153846153846,2.94117647058824,"Tampa Bay Rays","Toronto Blue Jays",8,2,100
"43","2024-03-29",747223,89.3,2028,6.25,2.24299,-7.317,0.484,0.41,93.7,47.0588235294118,7.5,"Arizona Diamondbacks","Colorado Rockies",7,3,104
"44","2024-03-29",747223,88.6,2294,6.35,2.40557,1.77,0.255,0.305,94.6,45.4545454545455,12.1212121212121,"Arizona Diamondbacks","Colorado Rockies",7,3,104
"45","2024-03-29",746167,91.5,2359,6.97,2.04774,3.453,0.216,0.24,85,31.578947368421,0,"Los Angeles Dodgers","St. Louis Cardinals",6,3,97
"46","2024-03-29",746167,85.5,1947,6.52,2.81353,-1.829,0.394,0.261,86.9,33.3333333333333,9.375,"Los Angeles Dodgers","St. Louis Cardinals",6,3,97
"47","2024-03-29",745848,87.4,2062,6.36,2.44014,1.514,0.279,0.256,88.1,44,5.71428571428571,"New York Mets","Milwaukee Brewers",1,3,98
"48","2024-03-29",745848,91,2393,6.82,1.77945,4.219,0.118,0.22,90.8,41.1764705882353,6.89655172413793,"New York Mets","Milwaukee Brewers",1,3,98
"49","2024-03-29",745276,91.5,2066,6.6,2.21461,4.584,0.165,0.21,87.7,27.7777777777778,2.94117647058824,"Seattle Mariners","Boston Red Sox",1,0,89
"50","2024-03-29",745276,88.2,2372,6.56,2.44816,3.088,0.202,0.295,91.9,57.1428571428571,3.33333333333333,"Seattle Mariners","Boston Red Sox",1,0,89
"51","2024-03-30",746168,89.2,2337,6.24,2.32284,-1.838,0.354,0.279,90.1,48.2758620689655,4.25531914893617,"Los Angeles Dodgers","St. Louis Cardinals",5,6,97
"52","2024-03-30",746168,89.6,2097,6.38,2.49342,2.754,0.214,0.292,91.6,44.4444444444444,5,"Los Angeles Dodgers","St. Louis Cardinals",5,6,97
